Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,35.349998,38.509998,32.830002,36.810001,734700,36.810001
2016-09-01,36.509998,39.52,34.290001,35.110001,879300,35.110001
2016-08-01,44.369999,44.560001,35.919998,36.880001,688300,36.880001
2016-07-01,46.380001,47.09,40.330002,44.189999,418400,44.189999
2016-06-01,44.34,47.805,40.00,45.919998,605800,45.919998
2016-05-02,42.040001,46.290001,39.040001,44.869999,701400,44.869999
2016-04-01,41.290001,43.34,37.75,41.689999,423400,41.689999
2016-03-01,37.540001,41.50,35.080002,41.419998,574600,41.419998
2016-02-01,29.459999,39.00,24.23,37.099998,1009300,37.099998
2016-01-04,38.849998,39.009998,26.715,29.58,817100,29.58
2015-12-01,40.73,41.827999,37.209999,39.599998,456500,39.599998
2015-11-02,38.650002,41.990002,33.709999,40.759998,912100,40.759998
2015-10-01,37.790001,44.43,35.380001,38.060001,437900,38.060001
2015-09-01,39.00,44.040001,34.91,37.540001,720700,37.540001
2015-08-03,53.93,53.974998,28.09,39.209999,924200,39.209999
2015-07-01,49.080002,57.303001,47.220001,53.23,499400,53.23
2015-06-01,48.470001,51.43,44.00,47.669998,836300,47.669998
2015-05-01,41.50,50.150002,41.470001,48.029999,921400,48.029999
2015-04-01,39.630001,44.990002,39.119999,41.459999,503300,41.459999
2015-03-02,45.599998,46.25,38.990002,39.50,536300,39.50
2015-02-02,39.119999,46.50,38.540001,45.360001,769400,45.360001
2015-01-02,40.50,43.380001,37.700001,38.950001,354700,38.950001
2014-12-01,40.66,41.09,37.00,40.419998,416500,40.419998
2014-11-03,30.50,41.00,29.02,40.380001,704600,40.380001
2014-10-01,33.50,34.459999,28.34,30.690001,385100,30.690001
2014-09-02,37.400002,40.130001,33.00,33.650002,803800,33.650002
2014-08-01,29.76,37.700001,28.309999,37.549999,1267900,37.549999
2014-07-01,33.779999,39.299999,29.50,29.76,556900,29.76
2014-06-02,29.50,37.02,28.469999,33.77,324600,33.77
2014-05-01,31.74,35.360001,25.16,28.75,695300,28.75
2014-04-01,40.849998,41.970001,25.66,31.98,582600,31.98
2014-03-03,52.810001,60.950001,39.060001,40.549999,503100,40.549999
2014-02-03,34.75,54.200001,33.169998,53.470001,383200,53.470001
2014-01-02,34.200001,38.950001,31.00,35.189999,170800,35.189999
2013-12-02,36.099998,36.099998,31.50,34.200001,109700,34.200001
2013-11-01,36.150002,37.610001,28.27,36.099998,432800,36.099998
2013-10-30,42.00,45.00,33.330002,35.310001,6448500,35.310001
