Date,Open,High,Low,Close,Volume
16-Mar-17,3.92,3.97,3.84,3.91,491363
15-Mar-17,3.88,3.95,3.67,3.92,804694
14-Mar-17,3.62,4.06,3.60,3.85,1704189
13-Mar-17,3.32,3.76,3.25,3.74,1168006
10-Mar-17,3.30,3.39,3.23,3.33,286350
9-Mar-17,3.24,3.35,3.18,3.27,350186
8-Mar-17,3.16,3.44,3.10,3.24,924830
7-Mar-17,3.00,3.17,3.00,3.13,315510
6-Mar-17,3.25,3.30,3.00,3.03,485382
3-Mar-17,3.12,3.40,3.11,3.23,620894
2-Mar-17,2.95,3.37,2.95,3.12,942865
1-Mar-17,2.85,2.98,2.63,2.93,602064
28-Feb-17,2.97,2.97,2.78,2.82,363561
27-Feb-17,3.05,3.10,2.81,2.99,434293
24-Feb-17,2.70,3.09,2.64,3.07,1061562
23-Feb-17,2.78,2.78,2.55,2.69,438469
22-Feb-17,2.36,2.79,2.36,2.71,1485521
21-Feb-17,2.49,2.62,2.43,2.55,971548
17-Feb-17,2.41,2.55,2.41,2.47,220340
16-Feb-17,2.43,2.50,2.42,2.46,163923
15-Feb-17,2.50,2.51,2.42,2.45,171199
14-Feb-17,2.39,2.63,2.38,2.49,518370
13-Feb-17,2.33,2.36,2.29,2.34,141531
10-Feb-17,2.35,2.40,2.22,2.31,179793
9-Feb-17,2.33,2.42,2.30,2.36,169980
8-Feb-17,2.32,2.33,2.29,2.33,111996
7-Feb-17,2.30,2.34,2.28,2.31,89337
6-Feb-17,2.32,2.34,2.22,2.29,783539
3-Feb-17,2.25,2.38,2.25,2.30,282972
2-Feb-17,2.22,2.27,2.18,2.26,215298
1-Feb-17,2.03,2.28,1.99,2.22,470698
31-Jan-17,1.95,2.04,1.95,2.00,60041
30-Jan-17,1.98,2.02,1.95,1.97,160870
27-Jan-17,2.07,2.08,2.00,2.02,41060
26-Jan-17,2.08,2.08,2.00,2.05,47337
25-Jan-17,2.03,2.10,2.00,2.08,86979
24-Jan-17,2.04,2.06,1.99,2.00,207867
23-Jan-17,2.07,2.14,2.04,2.05,137989
20-Jan-17,2.09,2.10,2.07,2.08,93472
19-Jan-17,2.11,2.11,2.04,2.08,125497
18-Jan-17,2.10,2.14,2.09,2.10,170752
17-Jan-17,2.15,2.17,2.05,2.10,155432
13-Jan-17,2.13,2.21,2.08,2.14,156008
12-Jan-17,2.15,2.18,2.08,2.13,157968
11-Jan-17,2.03,2.26,2.02,2.17,753589
10-Jan-17,2.05,2.15,2.02,2.03,443913
9-Jan-17,1.90,2.04,1.90,2.02,312020
6-Jan-17,1.92,1.94,1.86,1.92,63822
5-Jan-17,1.99,1.99,1.85,1.89,176516
4-Jan-17,1.90,2.01,1.85,1.90,266304
3-Jan-17,1.76,1.95,1.72,1.92,400227
30-Dec-16,1.70,1.73,1.70,1.71,398004
29-Dec-16,1.74,1.76,1.70,1.71,325455
28-Dec-16,1.74,1.77,1.73,1.75,232569
27-Dec-16,1.74,1.80,1.74,1.74,203918
23-Dec-16,1.75,1.78,1.72,1.75,155036
22-Dec-16,1.81,1.85,1.75,1.75,199881
21-Dec-16,1.84,1.85,1.79,1.80,97356
20-Dec-16,1.84,1.85,1.79,1.83,166755
19-Dec-16,1.89,1.89,1.81,1.82,104888
16-Dec-16,1.88,1.97,1.83,1.85,162004
15-Dec-16,1.93,1.99,1.88,1.90,131450
14-Dec-16,1.87,1.94,1.84,1.94,169283
13-Dec-16,1.93,1.94,1.84,1.87,464457
12-Dec-16,1.96,2.00,1.91,1.95,213721
9-Dec-16,1.86,1.99,1.86,1.98,188067
8-Dec-16,1.88,1.91,1.81,1.84,377466
7-Dec-16,1.87,1.91,1.81,1.87,235905
6-Dec-16,1.88,1.89,1.77,1.86,193911
5-Dec-16,1.73,1.88,1.73,1.85,300203
2-Dec-16,1.70,1.80,1.70,1.75,407764
1-Dec-16,1.83,1.89,1.71,1.71,256005
30-Nov-16,1.97,1.99,1.80,1.82,426831
29-Nov-16,1.96,1.98,1.90,1.96,105506
28-Nov-16,1.95,2.04,1.93,1.95,94141
25-Nov-16,1.99,2.02,1.92,2.00,24404
23-Nov-16,1.98,2.05,1.96,1.99,92815
22-Nov-16,1.90,2.00,1.90,1.99,110205
21-Nov-16,1.96,2.04,1.92,1.93,151649
18-Nov-16,2.04,2.14,1.96,1.96,194045
17-Nov-16,2.09,2.15,2.04,2.04,146230
16-Nov-16,1.88,2.11,1.87,2.07,370386
15-Nov-16,1.83,1.97,1.80,1.91,362964
14-Nov-16,1.82,1.88,1.79,1.81,419942
11-Nov-16,1.83,1.84,1.78,1.79,381447
10-Nov-16,1.90,1.92,1.79,1.82,522351
9-Nov-16,1.78,1.90,1.76,1.86,188172
8-Nov-16,1.77,1.90,1.77,1.86,211408
7-Nov-16,1.78,1.90,1.74,1.75,315719
4-Nov-16,1.82,1.90,1.76,1.76,235120
3-Nov-16,1.95,1.96,1.81,1.81,384265
2-Nov-16,2.00,2.02,1.95,1.97,306486
1-Nov-16,2.00,2.07,1.95,1.99,387729
31-Oct-16,2.06,2.17,1.98,1.98,598975
28-Oct-16,2.30,2.33,2.09,2.14,601768
27-Oct-16,2.46,2.50,2.32,2.34,405089
26-Oct-16,2.69,2.80,2.34,2.45,916489
25-Oct-16,2.83,2.90,2.80,2.89,254363
24-Oct-16,2.84,2.84,2.73,2.82,194522
21-Oct-16,2.78,2.82,2.71,2.80,139670
20-Oct-16,2.67,2.80,2.64,2.77,133435
19-Oct-16,2.63,2.69,2.59,2.68,129625
18-Oct-16,2.53,2.64,2.50,2.61,149982
17-Oct-16,2.48,2.54,2.45,2.50,184497
14-Oct-16,2.55,2.59,2.45,2.49,168429
13-Oct-16,2.53,2.54,2.43,2.52,202652
12-Oct-16,2.54,2.59,2.50,2.54,130361
11-Oct-16,2.59,2.62,2.51,2.54,79267
10-Oct-16,2.50,2.62,2.49,2.59,183205
7-Oct-16,2.60,2.60,2.45,2.48,200504
6-Oct-16,2.60,2.60,2.50,2.55,161805
5-Oct-16,2.63,2.67,2.57,2.59,139138
4-Oct-16,2.60,2.66,2.59,2.63,215753
3-Oct-16,2.65,2.68,2.48,2.59,402904
30-Sep-16,2.71,2.71,2.64,2.64,284177
29-Sep-16,2.75,2.79,2.68,2.72,126850
28-Sep-16,2.70,2.78,2.65,2.75,153579
27-Sep-16,2.72,2.80,2.70,2.71,84658
26-Sep-16,2.81,2.86,2.72,2.72,125580
23-Sep-16,2.84,2.89,2.78,2.83,234605
22-Sep-16,2.68,2.88,2.67,2.82,290340
21-Sep-16,2.70,2.74,2.68,2.69,266508
20-Sep-16,2.71,2.75,2.67,2.70,244408
19-Sep-16,2.81,2.84,2.69,2.70,222545
16-Sep-16,2.75,2.88,2.72,2.81,277570
15-Sep-16,2.74,2.80,2.67,2.76,212460
14-Sep-16,2.80,2.85,2.70,2.75,254349
13-Sep-16,2.75,2.79,2.64,2.76,265720
12-Sep-16,2.93,2.94,2.72,2.76,362460
9-Sep-16,2.96,3.00,2.86,2.98,423351
8-Sep-16,3.21,3.21,2.96,2.97,443742
7-Sep-16,3.07,3.18,3.02,3.16,592674
6-Sep-16,3.04,3.17,3.00,3.05,679977
2-Sep-16,3.03,3.12,3.00,3.02,361223
1-Sep-16,3.02,3.03,2.91,2.99,231610
31-Aug-16,3.02,3.06,2.97,3.00,330857
30-Aug-16,2.88,3.04,2.88,3.03,386568
29-Aug-16,2.91,2.91,2.79,2.88,243093
26-Aug-16,2.84,2.98,2.81,2.88,268141
25-Aug-16,2.94,2.94,2.82,2.84,589999
24-Aug-16,3.05,3.11,2.95,2.97,324156
23-Aug-16,3.04,3.13,3.01,3.08,415848
22-Aug-16,3.15,3.16,3.00,3.06,331589
19-Aug-16,3.18,3.18,3.02,3.17,339181
18-Aug-16,3.18,3.24,3.05,3.20,313804
17-Aug-16,3.24,3.24,3.08,3.19,457587
16-Aug-16,3.32,3.48,3.14,3.24,943501
15-Aug-16,3.24,3.45,3.14,3.32,1202074
12-Aug-16,2.89,3.24,2.87,3.16,1602900
11-Aug-16,2.81,2.93,2.70,2.88,803718
10-Aug-16,2.41,2.86,2.41,2.77,2354852
9-Aug-16,2.34,2.44,2.31,2.39,853228
8-Aug-16,2.36,2.40,2.30,2.34,427437
5-Aug-16,2.33,2.36,2.30,2.36,639792
4-Aug-16,2.35,2.36,2.27,2.31,351007
3-Aug-16,2.31,2.40,2.24,2.33,836387
2-Aug-16,2.22,2.26,2.15,2.23,519581
1-Aug-16,2.24,2.25,2.20,2.22,310552
29-Jul-16,2.22,2.24,2.19,2.24,188040
28-Jul-16,2.23,2.28,2.20,2.23,385777
27-Jul-16,2.31,2.33,2.20,2.23,312555
26-Jul-16,2.29,2.34,2.25,2.30,270970
25-Jul-16,2.31,2.31,2.23,2.28,381813
22-Jul-16,2.25,2.30,2.18,2.19,559937
21-Jul-16,2.28,2.30,2.25,2.25,144262
20-Jul-16,2.34,2.34,2.27,2.27,184349
19-Jul-16,2.36,2.37,2.34,2.34,91048
18-Jul-16,2.34,2.37,2.33,2.37,108440
15-Jul-16,2.31,2.37,2.30,2.34,128856
14-Jul-16,2.29,2.36,2.26,2.30,120600
13-Jul-16,2.34,2.38,2.25,2.28,192377
12-Jul-16,2.42,2.42,2.33,2.34,319801
11-Jul-16,2.36,2.40,2.36,2.40,181581
8-Jul-16,2.40,2.40,2.32,2.36,241800
7-Jul-16,2.33,2.40,2.30,2.37,165991
6-Jul-16,2.23,2.40,2.20,2.33,386825
5-Jul-16,2.32,2.32,2.18,2.24,349245
1-Jul-16,2.26,2.40,2.22,2.35,349015
30-Jun-16,2.24,2.38,2.20,2.22,271325
29-Jun-16,2.52,2.53,2.25,2.25,769883
28-Jun-16,2.19,2.77,2.15,2.55,4628629
27-Jun-16,2.20,2.20,2.09,2.11,427345
24-Jun-16,2.17,2.24,2.12,2.21,2735186
23-Jun-16,2.22,2.26,2.18,2.26,373989
22-Jun-16,2.28,2.32,2.17,2.21,277274
21-Jun-16,2.35,2.42,2.24,2.26,216397
20-Jun-16,2.31,2.48,2.31,2.33,463866
17-Jun-16,2.20,2.34,2.19,2.29,425257
16-Jun-16,2.25,2.25,2.14,2.19,197672
15-Jun-16,2.28,2.37,2.22,2.24,271687
14-Jun-16,2.23,2.25,2.17,2.24,176850
13-Jun-16,2.30,2.33,2.23,2.23,238798
10-Jun-16,2.31,2.33,2.27,2.32,261860
9-Jun-16,2.42,2.43,2.32,2.32,253219
8-Jun-16,2.39,2.52,2.38,2.44,360929
7-Jun-16,2.36,2.40,2.33,2.39,267763
6-Jun-16,2.42,2.45,2.30,2.38,571728
3-Jun-16,2.51,2.52,2.37,2.41,364162
2-Jun-16,2.41,2.53,2.38,2.52,389597
1-Jun-16,2.52,2.58,2.44,2.47,308138
31-May-16,2.56,2.65,2.56,2.57,133641
27-May-16,2.52,2.61,2.51,2.56,147618
26-May-16,2.62,2.62,2.52,2.53,299628
25-May-16,2.55,2.63,2.51,2.60,162722
24-May-16,2.53,2.63,2.48,2.55,292116
23-May-16,2.51,2.58,2.45,2.48,126481
20-May-16,2.49,2.55,2.45,2.52,196402
19-May-16,2.55,2.61,2.46,2.48,366074
18-May-16,2.51,2.58,2.48,2.57,231966
17-May-16,2.51,2.65,2.48,2.52,352987
16-May-16,2.66,2.66,2.50,2.53,466161
13-May-16,2.61,2.68,2.55,2.63,250641
12-May-16,2.45,2.70,2.45,2.66,373345
11-May-16,3.15,3.15,2.40,2.57,1999414
10-May-16,2.69,2.77,2.61,2.69,515947
9-May-16,2.63,2.72,2.63,2.66,140559
6-May-16,2.66,2.70,2.61,2.64,171190
5-May-16,2.72,2.77,2.64,2.64,147235
4-May-16,2.77,2.78,2.62,2.68,290624
3-May-16,2.80,2.93,2.68,2.77,218489
2-May-16,2.88,2.88,2.72,2.82,250538
29-Apr-16,2.89,2.98,2.78,2.86,256667
28-Apr-16,2.93,3.00,2.90,2.90,97648
27-Apr-16,2.99,3.02,2.86,2.93,214353
26-Apr-16,2.96,3.03,2.91,2.99,216652
25-Apr-16,3.04,3.17,2.93,2.94,332071
22-Apr-16,2.97,3.10,2.96,3.04,222497
21-Apr-16,3.03,3.12,2.97,3.03,237881
20-Apr-16,2.95,3.12,2.95,3.03,180406
19-Apr-16,2.97,2.99,2.88,2.96,172642
18-Apr-16,2.86,2.99,2.86,2.98,159142
15-Apr-16,2.94,2.99,2.86,2.92,165176
14-Apr-16,2.96,3.03,2.91,2.95,108158
13-Apr-16,3.04,3.12,2.91,2.94,302432
12-Apr-16,2.96,3.14,2.82,3.02,256911
11-Apr-16,3.07,3.14,3.01,3.01,198443
8-Apr-16,3.10,3.16,3.01,3.04,133768
7-Apr-16,3.12,3.16,3.04,3.05,159797
6-Apr-16,3.10,3.17,3.06,3.15,275376
5-Apr-16,3.08,3.15,3.00,3.10,210621
4-Apr-16,3.14,3.20,3.10,3.11,249390
1-Apr-16,3.09,3.15,3.03,3.14,194270
31-Mar-16,3.17,3.36,3.11,3.15,543903
30-Mar-16,3.13,3.23,3.10,3.16,172660
29-Mar-16,3.14,3.29,3.05,3.13,233200
28-Mar-16,3.12,3.20,3.05,3.17,184808
24-Mar-16,3.13,3.20,3.03,3.12,189952
23-Mar-16,3.40,3.43,3.13,3.16,216530
22-Mar-16,3.48,3.60,3.39,3.43,215816
21-Mar-16,3.48,3.64,3.47,3.51,194943
18-Mar-16,3.47,3.58,3.41,3.51,548470
17-Mar-16,3.42,3.53,3.34,3.43,163628
16-Mar-16,3.41,3.53,3.26,3.41,147128
