Date,Open,High,Low,Close,Volume
19-Aug-09,219.78,222.28,219.06,221.76,-
18-Aug-09,222.33,223.63,220.94,222.42,-
17-Aug-09,225.52,225.77,221.34,222.22,-
14-Aug-09,231.16,231.36,228.22,229.77,-
13-Aug-09,230.84,232.13,229.23,230.91,-
12-Aug-09,227.48,230.64,227.23,229.06,-
11-Aug-09,226.61,228.39,225.96,226.74,-
10-Aug-09,227.34,228.98,226.67,228.08,-
7-Aug-09,227.61,229.48,227.27,228.32,-
6-Aug-09,226.92,227.21,224.04,224.95,-
5-Aug-09,227.77,228.23,223.72,225.34,-
4-Aug-09,224.46,226.77,223.99,226.64,-
3-Aug-09,224.15,226.72,223.60,225.88,-
31-Jul-09,224.77,226.12,220.99,221.30,-
30-Jul-09,221.08,225.51,221.08,222.60,-
29-Jul-09,218.40,218.68,215.73,217.90,-
28-Jul-09,220.28,221.18,217.83,219.71,-
27-Jul-09,222.80,223.15,218.59,222.18,-
24-Jul-09,217.69,225.02,217.28,223.14,-
23-Jul-09,214.13,220.38,212.54,218.45,-
22-Jul-09,213.79,214.88,211.54,213.63,-
21-Jul-09,215.25,215.73,212.65,213.74,-
20-Jul-09,214.73,216.21,212.91,214.87,-
17-Jul-09,216.28,217.52,213.14,214.91,-
16-Jul-09,218.12,222.65,216.83,221.08,-
15-Jul-09,214.62,219.12,214.03,218.87,-
14-Jul-09,211.64,213.15,210.22,212.13,-
13-Jul-09,207.88,212.05,207.38,211.94,-
10-Jul-09,204.58,208.48,204.15,206.99,-
9-Jul-09,202.86,207.02,202.70,204.99,-
8-Jul-09,199.80,202.80,198.83,201.04,-
7-Jul-09,203.92,204.39,197.79,198.12,-
6-Jul-09,203.05,205.11,200.63,204.60,-
2-Jul-09,207.50,207.50,203.20,204.04,-
1-Jul-09,211.89,212.99,208.87,209.29,-
30-Jun-09,211.79,213.39,208.90,210.58,-
29-Jun-09,212.79,213.69,210.91,211.86,-
26-Jun-09,206.63,213.90,206.35,212.45,-
25-Jun-09,203.30,207.74,203.05,207.68,-
24-Jun-09,204.17,205.91,203.08,204.44,-
23-Jun-09,203.12,204.29,201.07,202.64,-
22-Jun-09,208.27,208.54,200.74,203.47,-
19-Jun-09,208.90,210.02,207.08,209.83,-
18-Jun-09,207.63,209.14,206.29,206.82,-
17-Jun-09,207.89,209.65,205.57,207.37,-
16-Jun-09,209.45,210.33,207.50,207.79,-
15-Jun-09,210.54,210.54,206.79,208.18,-
12-Jun-09,213.22,213.64,210.39,212.21,-
11-Jun-09,215.67,216.65,213.97,214.29,-
10-Jun-09,217.90,218.73,213.12,216.08,-
9-Jun-09,219.07,220.03,215.66,217.59,-
8-Jun-09,219.53,220.24,216.84,219.17,-
5-Jun-09,222.31,223.45,219.51,221.94,-
4-Jun-09,217.43,220.40,217.03,219.92,-
3-Jun-09,212.79,216.02,211.79,215.61,-
2-Jun-09,212.91,214.77,211.49,213.99,-
1-Jun-09,209.16,214.59,209.06,213.07,-
29-May-09,205.85,208.41,205.14,208.41,-
28-May-09,204.14,205.60,202.10,204.99,-
27-May-09,202.62,205.72,202.20,202.58,-
26-May-09,195.78,202.30,194.80,201.98,-
22-May-09,198.13,199.13,195.80,196.55,-
21-May-09,197.95,201.22,196.72,198.05,-
20-May-09,200.84,202.63,197.30,198.39,-
19-May-09,197.85,200.62,196.30,199.24,-
18-May-09,197.17,198.46,192.51,198.22,-
15-May-09,195.35,196.86,194.35,194.80,-
14-May-09,194.21,195.91,192.15,193.56,-
13-May-09,196.85,198.00,193.98,194.58,-
12-May-09,204.80,205.29,197.36,199.31,-
11-May-09,201.20,205.79,200.40,203.79,-
8-May-09,201.22,204.86,197.30,203.46,-
7-May-09,201.85,202.29,196.05,198.11,-
6-May-09,203.19,203.94,200.30,201.53,-
5-May-09,199.79,202.30,198.43,201.29,-
4-May-09,198.89,201.00,197.20,200.79,-
1-May-09,197.32,198.60,195.58,196.65,-
30-Apr-09,197.68,201.67,197.20,197.79,-
29-Apr-09,192.79,197.29,192.72,195.54,-
28-Apr-09,191.68,194.33,190.58,191.66,-
27-Apr-09,191.98,194.55,191.18,192.78,-
24-Apr-09,192.83,196.39,190.06,194.55,-
23-Apr-09,193.56,194.68,190.36,192.15,-
22-Apr-09,190.68,194.80,189.32,191.74,-
21-Apr-09,187.90,191.96,187.86,190.54,-
20-Apr-09,192.88,195.13,187.76,189.46,-
17-Apr-09,192.82,199.71,192.21,195.92,-
16-Apr-09,190.56,196.25,190.32,194.18,-
15-Apr-09,183.37,190.34,181.90,189.56,-
14-Apr-09,188.28,188.31,182.62,184.27,-
13-Apr-09,185.48,189.36,184.96,188.87,-
9-Apr-09,184.57,186.99,182.94,186.06,-
8-Apr-09,181.57,182.32,177.93,180.82,-
7-Apr-09,181.12,181.69,177.48,179.15,-
6-Apr-09,183.32,184.73,180.52,183.94,-
3-Apr-09,182.07,185.67,178.82,184.71,-
2-Apr-09,181.47,184.70,179.98,181.07,-
1-Apr-09,171.72,177.44,170.13,176.87,-
31-Mar-09,174.29,176.58,172.92,173.86,-
30-Mar-09,171.10,171.73,167.86,171.17,-
27-Mar-09,174.82,175.82,172.56,173.68,-
26-Mar-09,176.39,179.40,174.08,176.47,-
25-Mar-09,175.02,175.49,167.96,171.86,-
24-Mar-09,173.08,176.74,171.83,173.41,-
23-Mar-09,166.61,174.55,166.35,174.13,-
20-Mar-09,164.98,166.33,163.01,164.91,-
19-Mar-09,165.67,167.83,163.53,164.81,-
18-Mar-09,167.24,169.83,163.86,166.38,-
17-Mar-09,159.93,167.50,159.39,167.50,-
16-Mar-09,162.83,164.70,159.14,159.69,-
13-Mar-09,162.89,163.57,159.36,162.05,-
12-Mar-09,158.61,162.34,156.67,161.60,-
11-Mar-09,154.89,159.84,152.70,158.80,-
10-Mar-09,148.98,155.09,146.98,153.93,-
9-Mar-09,149.84,153.13,144.58,145.30,-
6-Mar-09,153.46,154.94,146.98,154.13,-
5-Mar-09,158.08,159.38,151.17,152.67,-
4-Mar-09,161.42,164.34,157.53,159.30,-
3-Mar-09,164.87,166.68,161.01,162.58,-
2-Mar-09,166.50,170.18,162.84,163.42,-
27-Feb-09,166.31,171.74,165.39,168.83,-
26-Feb-09,172.81,176.07,168.41,168.42,-
25-Feb-09,170.90,175.97,169.29,170.65,-
24-Feb-09,165.34,174.64,165.28,172.55,-
23-Feb-09,173.33,174.73,164.61,164.86,-
20-Feb-09,168.86,174.29,167.33,173.05,-
19-Feb-09,178.56,179.72,170.53,171.15,-
18-Feb-09,173.45,176.51,170.09,176.38,-
17-Feb-09,173.08,173.37,169.68,171.16,-
13-Feb-09,180.91,181.31,177.44,178.66,-
12-Feb-09,176.40,181.63,175.56,181.34,-
11-Feb-09,179.30,182.32,176.32,178.84,-
10-Feb-09,187.80,188.56,178.77,179.08,-
9-Feb-09,185.45,190.31,183.47,189.20,-
6-Feb-09,178.05,186.72,177.54,185.45,-
5-Feb-09,170.28,177.51,168.33,176.68,-
4-Feb-09,169.86,177.04,169.42,171.33,-
3-Feb-09,171.11,171.33,166.75,170.05,-
2-Feb-09,166.98,172.33,165.83,170.11,-
30-Jan-09,172.17,174.23,167.83,169.10,-
29-Jan-09,172.10,172.35,169.88,171.49,-
28-Jan-09,168.82,175.99,167.99,174.16,-
27-Jan-09,163.06,166.77,161.97,165.57,-
26-Jan-09,162.26,163.84,160.12,161.77,-
23-Jan-09,154.48,165.81,151.96,162.19,-
22-Jan-09,148.87,154.52,147.43,153.10,-
21-Jan-09,144.03,151.60,144.03,151.39,-
20-Jan-09,149.42,149.60,141.23,141.23,-
16-Jan-09,152.36,153.97,147.70,149.69,-
15-Jan-09,148.64,151.64,143.25,149.35,-
14-Jan-09,154.84,156.74,148.73,150.33,-
