Date,Open,High,Low,Close,Volume,Adj Close
1991-03-01,103.00,113.00,95.625,100.50,126294400,0.947774
1991-02-01,99.00,109.00,97.25,103.75,96660300,0.978423
1991-01-02,75.00,99.50,73.00,98.125,105961100,0.925376
1990-12-03,73.25,76.75,70.50,75.25,49183600,0.709652
1990-11-01,63.00,74.25,62.75,72.25,63108800,0.68136
1990-10-01,64.75,68.50,53.50,63.75,98229500,0.6012
1990-09-04,61.00,63.50,54.50,63.00,72041600,0.594127
1990-08-01,66.25,67.25,50.75,61.50,88022900,0.579981
1990-07-02,76.00,80.75,65.75,66.50,75773800,0.627134
1990-06-01,73.25,77.75,71.00,76.00,57184100,0.716725
1990-05-01,58.75,78.75,56.75,73.00,77462100,0.688433
1990-04-02,109.75,122.00,55.625,58.00,62612800,0.546974
1990-03-01,98.50,117.00,98.50,110.75,79749600,0.522219
1990-02-01,92.50,100.50,92.25,98.75,77297000,0.465635
1990-01-02,87.25,96.00,84.00,92.50,113358400,0.436165
1989-12-01,87.125,88.25,75.00,87.00,76913900,0.410231
1989-11-01,81.75,89.25,76.00,87.00,92717200,0.410231
1989-10-02,68.25,86.00,68.00,81.75,121160800,0.385475
1989-09-01,59.00,69.50,57.75,68.50,67441400,0.322998
1989-08-01,54.75,60.50,54.00,58.75,60648200,0.277023
1989-07-03,53.125,57.00,51.50,54.75,62716900,0.258162
1989-06-01,60.25,60.75,51.25,53.00,51809400,0.249911
1989-05-01,55.375,61.00,51.00,60.50,60905700,0.285275
1989-04-03,50.00,56.50,47.50,55.875,60229200,0.263467
1989-03-01,60.00,62.25,45.75,49.875,140382800,0.235175
1989-02-01,59.50,64.75,58.50,59.50,97135600,0.28056
1989-01-03,53.50,60.25,50.25,59.625,71435800,0.281149
1988-12-01,47.50,54.25,47.00,53.25,52107700,0.251089
1988-11-01,49.00,50.50,45.25,47.25,75909700,0.222798
1988-10-03,51.25,54.00,47.75,49.00,74922300,0.231049
1988-09-01,49.50,55.25,48.00,52.25,59705600,0.246374
1988-08-01,59.75,60.00,47.75,50.00,84106900,0.235765
1988-07-01,67.00,70.50,56.75,59.50,73024100,0.28056
1988-06-01,58.25,67.50,57.75,67.00,55914900,0.315925
1988-05-02,54.50,59.25,53.50,58.00,51287700,0.273487
1988-04-04,56.00,58.75,52.75,54.50,60992800,0.256983
1988-03-01,59.75,65.50,54.25,56.50,94083300,0.266414
1988-02-01,56.75,60.75,49.75,59.375,72160400,0.279971
1988-01-04,54.75,61.75,52.50,55.75,101674000,0.262878
1987-12-01,44.50,56.00,40.00,54.25,83714900,0.255805
1987-11-02,49.25,52.00,40.50,44.75,85716600,0.211009
1987-10-01,66.25,79.25,37.25,49.75,169804500,0.234586
1987-09-01,118.00,120.00,53.00,66.25,78122900,0.312388
1987-08-03,94.00,121.25,91.25,118.75,100916500,0.279971
1987-07-01,101.75,105.75,88.50,94.00,90916300,0.221619
1987-06-01,115.25,115.25,96.25,102.00,80349300,0.24048
1987-05-01,104.00,128.25,102.75,115.25,113621700,0.271719
1987-04-01,96.75,109.00,90.50,104.00,105077400,0.245195
1987-03-02,76.75,99.00,73.50,96.75,86757300,0.228102
1987-02-02,73.125,79.50,66.50,76.75,98517200,0.180949
1987-01-02,48.25,77.50,47.50,73.125,98369800,0.172403
1986-12-01,49.75,50.00,45.25,48.25,33858300,0.113756
1986-11-03,39.00,51.25,39.00,49.75,57646900,0.117293
1986-10-01,28.25,40.25,27.50,38.75,70845400,0.091359
1986-09-02,28.50,31.50,26.25,28.25,13824000,0.066604
1986-08-01,28.50,30.75,27.25,28.50,13889800,0.067193
1986-07-01,30.75,31.50,26.00,28.50,21656200,0.067193
1986-06-02,35.00,35.00,29.50,30.75,16959000,0.072498
1986-05-01,32.25,35.50,31.00,35.00,17167500,0.082518
1986-04-01,27.50,35.125,26.75,32.25,26274700,0.076034
1986-03-13,25.50,29.75,25.50,27.50,155827200,0.064835
