Date,Open,High,Low,Close,Volume,Adj Close
2007-05-01,22.130001,23.449999,21.219999,23.190001,8026700,3.312857
2007-04-02,23.299999,24.99,20.880001,22.17,12083400,3.167143
2007-03-01,22.359999,23.85,20.300001,23.190001,9262300,3.312857
2007-02-01,22.879999,23.880001,21.50,22.530001,14498400,3.218571
2007-01-03,26.00,26.799999,21.299999,22.809999,20023100,3.258571
2006-12-01,29.370001,30.00,25.849998,25.859999,5989700,3.694286
2006-11-01,27.709999,29.989998,26.200001,29.279999,7175700,4.182857
2006-10-02,22.789999,28.40,21.950001,27.66,12711100,3.951429
2006-09-01,20.029999,23.599998,19.90,22.780001,8393500,3.254286
2006-08-01,20.740002,21.75,18.119999,20.019999,9338800,2.86
2006-07-03,27.360001,27.559999,18.59,20.689999,15807900,2.955714
2006-06-01,27.619999,28.76,25.799999,27.210001,8329400,3.887143
2006-05-01,29.859999,32.18,26.82,27.689999,7336800,3.955714
2006-04-03,28.99,33.119999,26.869999,29.640001,12258200,4.234286
2006-03-01,26.809999,29.399998,24.65,28.99,6180600,4.141428
2006-02-01,27.35,27.50,23.99,26.809999,9248300,3.83
2006-01-03,27.059999,29.92,23.09,27.549999,16274200,3.935714
2005-12-01,27.75,28.070002,22.540001,27.059999,10114900,3.865714
2005-11-01,26.040001,30.250002,25.43,27.539999,9765200,3.934286
2005-10-03,25.98,29.490002,23.809999,26.41,12736700,3.772857
2005-09-01,21.559999,26.650002,21.25,25.990002,10243800,3.712857
2005-08-01,18.690001,22.74,18.25,21.559999,10503000,3.08
2005-07-01,16.40,20.800001,16.00,18.559999,11355300,2.651428
2005-06-01,14.20,17.84,14.20,16.41,8238000,2.344286
2005-05-02,11.530001,19.27,11.320001,14.29,19766600,2.041429
2005-04-01,10.90,13.00,10.51,11.55,8755300,1.65
2005-03-01,10.700001,11.05,8.91,10.849999,8288000,1.55
2005-02-01,11.42,12.20,10.009999,10.700001,8669000,1.528571
2005-01-03,12.599999,13.12,10.53,11.50,14103000,1.642857
2004-12-01,11.42,13.82,11.05,12.33,17377900,1.761429
2004-11-01,9.48,12.28,9.35,11.38,19641800,1.625714
2004-10-01,17.450001,19.60,9.25,9.469999,46447800,1.352857
2004-09-01,14.01,18.10,13.88,15.420001,17247700,2.202857
2004-08-02,19.84,20.40,13.85,13.95,13656600,1.992857
2004-07-01,35.700001,36.07,18.50,20.50,27790600,2.928571
2004-06-01,32.389999,36.57,28.350002,36.00,13729000,5.142857
2004-05-03,25.299999,33.27,25.289999,32.919998,14676100,4.702857
2004-04-01,36.09,38.619999,25.17,25.360001,23946300,3.622857
2004-03-01,34.349998,35.459999,27.67,34.119999,18857600,4.874286
2004-02-02,74.200005,78.949997,30.260002,34.400002,40126700,4.914286
2004-01-02,57.50,79.540001,53.790001,73.409996,48398500,5.243571
2003-12-01,49.419998,59.23,43.049999,54.689999,22605600,3.906429
2003-11-03,57.389999,60.549995,44.18,49.00,32260100,3.50
2003-10-01,33.400002,61.00,33.400002,57.300003,31633600,4.092857
2003-09-02,33.23,40.239998,30.419998,33.560001,18091000,2.397143
2003-08-01,25.92,33.779999,22.60,33.329998,10684900,2.380714
2003-07-01,25.60,28.60,22.550001,26.200001,14021100,1.871429
2003-06-02,22.51,26.35,18.049999,25.550001,23875200,1.825
2003-05-01,22.67,25.93,20.529999,22.50,13988800,1.607143
2003-04-01,20.50,24.689999,18.559999,22.799999,16554000,1.628571
2003-03-03,16.91,22.33,14.900001,20.35,11981600,1.453571
2003-02-03,13.14,17.200001,11.54,17.109999,7424000,1.222143
2003-01-02,11.85,13.39,10.67,13.20,5715000,0.942857
2002-12-02,10.400001,13.00,9.58,11.01,5070000,0.786429
2002-11-01,8.80,11.20,7.75,10.849999,5145000,0.775
2002-10-01,9.93,10.299999,4.85,8.97,7426300,0.640714
2002-09-03,13.11,13.67,9.65,9.70,3029300,0.692857
2002-08-01,13.30,13.99,9.89,13.11,3045600,0.936429
2002-07-01,14.00,18.190001,11.900001,13.35,3497400,0.953571
2002-06-03,15.120001,17.25,11.79,13.99,4171200,0.999286
2002-05-23,16.190001,17.40,15.00,15.07,26057500,1.076429
